t_ms,code,microstrain
0.000,-116475,-0.81
3.030,-115836,0.32
6.061,-115697,0.57
9.091,-116173,-0.27
12.121,-116476,-0.81
15.152,-115883,0.24
18.182,-116186,-0.30
21.212,-115412,1.07
24.562,-116551,-0.84
27.592,-115892,0.32
30.623,-116528,-0.80
33.653,-116024,0.09
36.683,-116532,-0.81
39.714,-116082,-0.02
42.744,-115747,0.57
45.774,-115668,0.71
49.105,-115464,1.00
52.135,-116152,-0.22
55.166,-116985,-1.69
58.196,-116410,-0.67
61.226,-115622,0.72
64.257,-115529,0.88
67.287,-115411,1.09
70.317,-115988,0.07
73.660,-116325,-0.50
76.690,-116415,-0.66
79.721,-115938,0.18
82.751,-116188,-0.26
85.781,-115839,0.35
88.812,-115780,0.46
91.842,-115972,0.12
94.872,-116084,-0.08
98.214,-116679,-1.12
101.244,-115803,0.43
104.275,-115673,0.66
107.305,-115548,0.88
110.335,-116365,-0.56
113.366,-116193,-0.26
116.396,-116504,-0.81
119.426,-115852,0.34
122.770,-115566,0.83
125.800,-115565,0.83
128.831,-115779,0.45
131.861,-116379,-0.61
134.891,-116396,-0.64
137.922,-116492,-0.81
140.952,-116138,-0.18
143.982,-115471,1.00
147.328,-115648,0.66
150.358,-116159,-0.24
153.389,-115987,0.06
156.419,-116267,-0.43
159.449,-116016,0.01
162.480,-115650,0.66
165.510,-115724,0.53
168.540,-116085,-0.11
171.882,-116639,-1.07
174.912,-116216,-0.32
177.943,-116426,-0.69
180.973,-115918,0.20
184.003,-115852,0.32
187.034,-115613,0.74
190.064,-116247,-0.38
193.094,-116028,0.01
196.450,-117085,-1.82
199.480,-116146,-0.17
202.511,-116214,-0.29
205.541,-115837,0.38
208.571,-115959,0.16
211.602,-115945,0.19
214.632,-116081,-0.05
217.662,-116357,-0.54
221.005,-116267,-0.37
224.035,-115708,0.62
227.066,-115872,0.33
230.096,-116008,0.09
233.126,-116224,-0.29
236.157,-116622,-1.00
239.187,-116140,-0.15
242.217,-115960,0.17
245.566,-116109,-0.11
248.596,-115975,0.13
251.627,-116332,-0.50
254.657,-116331,-0.50
257.687,-116121,-0.13
260.718,-115949,0.17
263.748,-115384,1.17
266.778,-115464,1.03
270.118,-115695,0.58
273.148,-115768,0.46
276.179,-116126,-0.18
279.209,-115949,0.14
282.239,-115793,0.41
285.270,-115436,1.04
288.300,-115497,0.93
291.330,-115983,0.08
294.672,-116427,-0.70
297.702,-116622,-1.04
300.733,-115705,0.57
303.763,-115338,1.22
306.793,-115791,0.42
309.824,-116140,-0.19
312.854,-116059,-0.05
315.884,-116604,-1.01
319.231,-116511,-0.85
322.261,-116003,0.05
325.292,-115475,0.98
328.322,-115955,0.13
331.352,-115859,0.30
334.383,-116275,-0.43
337.413,-116347,-0.56
340.443,-115766,0.47
343.776,-116678,-1.14
346.806,-115439,1.04
349.837,-115845,0.33
352.867,-116178,-0.26
355.897,-116465,-0.77
358.928,-115946,0.15
361.958,-115705,0.57
364.988,-115954,0.13
368.331,-115888,0.24
371.361,-115790,0.42
374.392,-116222,-0.35
377.422,-116460,-0.77
380.452,-115939,0.15
383.483,-115846,0.32
386.513,-115421,1.07
389.543,-116079,-0.10
392.889,-116821,-1.40
395.919,-116438,-0.72
398.950,-115953,0.14
401.980,-116099,-0.12
405.010,-115324,1.25
408.041,-116042,-0.02
411.071,-116303,-0.48
414.101,-115959,0.13
417.444,-116326,-0.52
420.474,-116273,-0.43
423.505,-115594,0.77
426.535,-115426,1.07
429.565,-115656,0.66
432.596,-116390,-0.63
435.626,-116136,-0.19
438.656,-116441,-0.72
442.002,-116315,-0.49
445.032,-115698,0.60
448.063,-115939,0.17
451.093,-115830,0.36
454.123,-116503,-0.82
457.154,-116615,-1.02
460.184,-116282,-0.43
463.214,-115998,0.07
466.573,-115928,0.19
469.603,-116062,-0.05
472.634,-116194,-0.28
475.664,-116264,-0.41
478.694,-116148,-0.20
481.725,-115947,0.15
484.755,-115668,0.65
487.785,-115629,0.71
491.121,-117276,-2.18
494.151,-116281,-0.42
497.182,-116441,-0.70
500.212,-116317,-0.48
503.242,-115744,0.53
506.273,-115728,0.56
509.303,-116108,-0.11
512.333,-116021,0.04
515.679,-116780,-1.29
518.709,-116236,-0.33
521.740,-116039,0.02
524.770,-115760,0.51
527.800,-116349,-0.53
530.831,-115857,0.34
533.861,-116034,0.03
536.891,-116217,-0.30
540.234,-116177,-0.23
543.264,-115575,0.83
546.295,-115665,0.67
549.325,-116043,0.00
552.355,-116157,-0.20
555.386,-116258,-0.38
558.416,-116081,-0.06
561.446,-115816,0.41
564.791,-116248,-0.37
567.821,-115619,0.74
570.852,-115795,0.43
573.882,-116194,-0.28
576.912,-116165,-0.22
579.943,-115817,0.39
582.973,-115633,0.72
586.003,-115495,0.96
589.346,-115993,0.07
592.376,-116058,-0.04
595.407,-116342,-0.54
598.437,-115921,0.20
601.467,-116035,0.00
604.498,-115734,0.53
607.528,-115416,1.09
610.558,-116203,-0.30
613.896,-116709,-1.18
616.926,-116247,-0.37
619.957,-116148,-0.19
622.987,-116155,-0.21
626.017,-115536,0.89
629.048,-116047,-0.02
632.078,-115822,0.38
635.108,-116286,-0.44
638.461,-116000,0.06
641.491,-116114,-0.14
644.522,-115575,0.81
647.552,-115349,1.21
650.582,-116333,-0.53
653.613,-115898,0.24
656.643,-116357,-0.57
659.673,-115773,0.46
663.023,-116754,-1.26
666.053,-115799,0.42
669.084,-115770,0.47
672.114,-116343,-0.54
675.144,-116368,-0.58
678.175,-116385,-0.61
681.205,-115984,0.10
684.235,-115909,0.23
687.568,-115781,0.44
690.598,-116030,-0.00
693.629,-116095,-0.11
696.659,-116380,-0.62
699.689,-116145,-0.20
702.720,-115506,0.93
705.750,-115058,1.72
708.780,-115250,1.38
712.118,-116392,-0.64
715.148,-116425,-0.70
718.179,-116013,0.02
721.209,-115705,0.57
724.239,-115814,0.38
727.270,-115470,0.98
730.300,-115735,0.52
733.330,-115976,0.09
736.673,-116620,-1.05
739.703,-115768,0.46
742.734,-115877,0.27
745.764,-115420,1.07
748.794,-116053,-0.04
751.825,-116240,-0.37
754.855,-116145,-0.21
757.885,-116334,-0.54
761.239,-115828,0.35
764.269,-115857,0.30
767.300,-115992,0.06
770.330,-116318,-0.51
773.360,-116226,-0.35
776.391,-116570,-0.96
779.421,-115879,0.26
782.451,-115628,0.71
785.793,-115619,0.72
788.823,-115646,0.67
791.854,-116085,-0.10
794.884,-116072,-0.08
797.914,-116487,-0.81
800.945,-116155,-0.23
803.975,-116087,-0.11
807.005,-115556,0.83
810.353,-116671,-1.13
813.383,-115941,0.16
816.414,-116351,-0.56
819.444,-116466,-0.77
822.474,-116029,0.00
825.505,-115944,0.15
828.535,-115530,0.89
831.565,-116716,-1.21
834.907,-116834,-1.42
837.937,-116289,-0.45
840.968,-115901,0.23
843.998,-115731,0.53
847.028,-115445,1.04
850.059,-115737,0.52
853.089,-116375,-0.61
856.119,-116138,-0.19
859.465,-116427,-0.69
862.495,-116232,-0.35
865.526,-115787,0.44
868.556,-116291,-0.45
871.586,-116165,-0.23
874.617,-116069,-0.06
877.647,-116231,-0.35
880.677,-115744,0.51
884.009,-115427,1.06
887.039,-115643,0.68
890.070,-115499,0.93
893.100,-116107,-0.14
896.130,-116196,-0.30
899.161,-115894,0.23
